,duration,rating,production_cost,worldwide_gross,opening_weekend,oscar,golden globe,certificate_G,certificate_PG,certificate_PG-13,certificate_R,certificate_TV-MA
160,113.0,7.6,148511564.3801765,625349669.6120157,56069453.03700728,0,0,0,1,0,0,0
161,92.0,6.4,166319053.81973767,692147023.2059518,69414786.13816896,1,1,0,0,1,0,0
162,132.0,7.4,132078418.12672387,380600068.354984,66381457.70459421,1,1,0,0,1,0,0
163,115.0,6.7,179461656.27863118,569282863.0548087,67212517.89444178,0,1,0,1,0,0,0
164,110.0,8.1,169508941.8067019,708038505.2584121,53143759.74917188,1,0,1,0,0,0,0
165,111.0,6.8,154333713.07232606,663225998.333623,88214929.01556475,1,1,0,0,1,0,0
166,140.0,8.2,179461656.27863118,429341822.01388276,58319582.65620426,1,1,0,0,1,0,0
167,107.0,7.8,145743015.29368323,503356369.3383038,49079920.36080856,1,0,0,0,1,0,0
168,113.0,7.0,159973527.631839,479202427.6022918,70093294.85066463,1,1,0,0,1,0,0
169,89.0,6.6,166319053.81973767,664922259.5037863,69972187.81514044,0,0,0,1,0,0,0
170,107.0,6.5,165259813.23686412,412957567.29310435,93711131.26720418,0,1,0,0,1,0,0
171,105.0,6.0,165259813.23686412,443150868.9963021,59684447.511914834,0,1,0,1,0,0,0
172,90.0,7.2,159973527.631839,709042717.9712571,50824978.298855096,1,1,0,1,0,0,0
173,120.0,8.1,150000000.0,367457874.0,45428128.0,1,1,0,0,0,1,0
174,104.0,6.5,139813367.8888597,402051205.648654,50673250.5340859,0,1,0,1,0,0,0
175,129.0,6.7,190057809.01710513,541411674.7202624,61420543.740045056,0,0,0,0,0,1,0
176,140.0,7.4,142321522.5841129,549413881.305985,39630898.61927961,0,0,0,0,1,0,0
177,82.0,5.7,179461656.27863118,370939853.29692507,47915996.62314323,0,0,1,0,0,0,0
178,126.0,6.9,174089965.99396938,463529326.3030541,55410831.82007198,1,1,0,0,1,0,0
179,138.0,6.7,165259813.23686412,540813670.8829844,50904614.496297956,1,1,0,0,1,0,0
180,162.0,7.3,185089258.08422735,596175017.5032063,57828562.245944306,1,1,0,0,0,1,0
181,90.0,6.1,169508941.8067019,324999016.1107736,42966046.23217368,1,1,0,1,0,0,0
182,87.0,5.1,165259813.23686412,322606811.44054514,34932546.60769051,1,1,0,1,0,0,0
183,96.0,6.8,166319053.81973767,363700995.0795588,29076038.914359134,0,1,0,1,0,0,0
